           note_1_1      note_1_2      note_1_3      note_2_1      note_2_2  \
count  1.560211e+06  1.560211e+06  1.560211e+06  1.560211e+06  1.560211e+06   
mean   6.420498e+01  2.386084e+01  3.877800e+01  6.419638e+01  2.388593e+01   
std    1.399689e+01  4.448904e+01  7.733731e+01  1.399105e+01  4.607788e+01   
min    2.100000e+01  0.000000e+00  0.000000e+00  2.100000e+01  0.000000e+00   
25%    5.500000e+01  5.000000e+00  4.000000e+00  5.500000e+01  5.000000e+00   
50%    6.400000e+01  1.200000e+01  1.200000e+01  6.400000e+01  1.200000e+01   
75%    7.400000e+01  3.000000e+01  4.900000e+01  7.400000e+01  3.000000e+01   
max    1.080000e+02  6.353000e+03  1.117400e+04  1.080000e+02  7.084000e+03   

           note_2_3      note_3_1      note_3_2      note_3_3      note_4_1  \
count  1.560211e+06  1.560211e+06  1.560211e+06  1.560211e+06  1.560211e+06   
mean   3.890780e+01  6.420011e+01  2.387566e+01  3.879616e+01  6.421927e+01   
std    7.798263e+01  1.399087e+01  4.632579e+01  7.809590e+01  1.399053e+01   
min    0.000000e+00  2.100000e+01  0.000000e+00  0.000000e+00  2.100000e+01   
25%    4.000000e+00  5.500000e+01  5.000000e+00  4.000000e+00  5.500000e+01   
50%    1.200000e+01  6.400000e+01  1.200000e+01  1.200000e+01  6.400000e+01   
75%    4.900000e+01  7.400000e+01  3.000000e+01  4.900000e+01  7.400000e+01   
max    8.060000e+03  1.070000e+02  8.332000e+03  1.110800e+04  1.080000e+02   

           note_4_2      note_4_3      note_5_1      note_5_2      note_5_3  \
count  1.560211e+06  1.560211e+06  1.560211e+06  1.560211e+06  1.560211e+06   
mean   2.383547e+01  3.879603e+01  6.420691e+01  2.383664e+01  3.878835e+01   
std    4.460406e+01  7.780422e+01  1.399948e+01  4.425059e+01  7.727954e+01   
min    0.000000e+00  0.000000e+00  2.100000e+01  0.000000e+00  0.000000e+00   
25%    5.000000e+00  4.000000e+00  5.500000e+01  5.000000e+00  4.000000e+00   
50%    1.200000e+01  1.200000e+01  6.400000e+01  1.200000e+01  1.200000e+01   
75%    3.000000e+01  4.900000e+01  7.400000e+01  3.000000e+01  4.900000e+01   
max    1.046700e+04  1.379800e+04  1.080000e+02  6.353000e+03  1.068200e+04   

           note_6_1      note_6_2      note_6_3      note_7_1      note_7_2  \
count  1.560211e+06  1.560211e+06  1.560211e+06  1.560211e+06  1.560211e+06   
mean   6.419834e+01  2.382218e+01  3.878450e+01  6.421008e+01  2.382392e+01   
std    1.398656e+01  4.460827e+01  7.722886e+01  1.398684e+01  4.462483e+01   
min    2.100000e+01  0.000000e+00  0.000000e+00  2.100000e+01  0.000000e+00   
25%    5.500000e+01  5.000000e+00  4.000000e+00  5.500000e+01  5.000000e+00   
50%    6.400000e+01  1.200000e+01  1.200000e+01  6.400000e+01  1.200000e+01   
75%    7.400000e+01  3.000000e+01  4.900000e+01  7.400000e+01  3.000000e+01   
max    1.080000e+02  8.332000e+03  1.110800e+04  1.080000e+02  6.260000e+03   

           note_7_3      note_8_1      note_8_2      note_8_3      note_9_1  \
count  1.560211e+06  1.560211e+06  1.560211e+06  1.560211e+06  1.560211e+06   
mean   3.881681e+01  6.420293e+01  2.389015e+01  3.881780e+01  6.420505e+01   
std    7.765610e+01  1.399582e+01  4.610540e+01  7.920004e+01  1.398874e+01   
min    0.000000e+00  2.100000e+01  0.000000e+00  0.000000e+00  2.100000e+01   
25%    4.000000e+00  5.500000e+01  5.000000e+00  4.000000e+00  5.500000e+01   
50%    1.200000e+01  6.400000e+01  1.200000e+01  1.200000e+01  6.400000e+01   
75%    4.900000e+01  7.400000e+01  3.000000e+01  4.900000e+01  7.400000e+01   
max    1.379800e+04  1.080000e+02  7.084000e+03  1.117400e+04  1.080000e+02   

           note_9_2      note_9_3     note_10_1     note_10_2     note_10_3  \
count  1.560211e+06  1.560211e+06  1.560211e+06  1.560211e+06  1.560211e+06   
mean   2.384498e+01  3.882892e+01  6.420715e+01  2.382461e+01  3.877543e+01   
std    4.441305e+01  7.658936e+01  1.399310e+01  4.602486e+01  7.783387e+01   
min    0.000000e+00  0.000000e+00  2.100000e+01  0.000000e+00  0.000000e+00   
25%    5.000000e+00  4.000000e+00  5.500000e+01  5.000000e+00  4.000000e+00   
50%    1.200000e+01  1.200000e+01  6.400000e+01  1.200000e+01  1.200000e+01   
75%    3.000000e+01  4.900000e+01  7.400000e+01  3.000000e+01  4.900000e+01   
max    7.015000e+03  8.060000e+03  1.080000e+02  1.046700e+04  9.528000e+03   

          note_11_1     note_11_2     note_11_3     note_12_1     note_12_2  \
count  1.560211e+06  1.560211e+06  1.560211e+06  1.560211e+06  1.560211e+06   
mean   6.421077e+01  2.386003e+01  3.872562e+01  6.420289e+01  2.389817e+01   
std    1.400253e+01  4.615579e+01  7.788576e+01  1.399898e+01  4.571953e+01   
min    2.100000e+01  0.000000e+00  0.000000e+00  2.100000e+01  0.000000e+00   
25%    5.500000e+01  5.000000e+00  4.000000e+00  5.500000e+01  5.000000e+00   
50%    6.400000e+01  1.200000e+01  1.200000e+01  6.400000e+01  1.200000e+01   
75%    7.400000e+01  3.000000e+01  4.900000e+01  7.400000e+01  3.000000e+01   
max    1.080000e+02  8.332000e+03  1.110800e+04  1.080000e+02  7.084000e+03   

          note_12_3     note_13_1     note_13_2     note_13_3     note_14_1  \
count  1.560211e+06  1.560211e+06  1.560211e+06  1.560211e+06  1.560211e+06   
mean   3.880442e+01  6.421291e+01  2.394252e+01  3.881428e+01  6.419375e+01   
std    7.750527e+01  1.401242e+01  4.751430e+01  7.720053e+01  1.400269e+01   
min    0.000000e+00  2.100000e+01  0.000000e+00  0.000000e+00  2.100000e+01   
25%    4.000000e+00  5.500000e+01  5.000000e+00  4.000000e+00  5.500000e+01   
50%    1.200000e+01  6.400000e+01  1.200000e+01  1.200000e+01  6.400000e+01   
75%    4.900000e+01  7.400000e+01  3.000000e+01  4.900000e+01  7.400000e+01   
max    8.796000e+03  1.080000e+02  7.346000e+03  8.796000e+03  1.080000e+02   

          note_14_2     note_14_3     note_15_1     note_15_2     note_15_3  \
count  1.560211e+06  1.560211e+06  1.560211e+06  1.560211e+06  1.560211e+06   
mean   2.394141e+01  3.887398e+01  6.418421e+01  2.391823e+01  3.888404e+01   
std    4.852024e+01  7.743553e+01  1.399710e+01  4.763970e+01  7.919161e+01   
