           note_1_1      note_1_2      note_1_3      note_2_1      note_2_2  \
count  15602.000000  15602.000000  15602.000000  15602.000000  15602.000000   
mean      64.253044     23.679016     38.755608     63.999808     24.222664   
std       13.929928     39.424052     70.025868     13.901973     45.654062   
min       22.000000      0.000000      0.000000     22.000000      0.000000   
25%       55.000000      4.000000      4.000000     55.000000      5.000000   
50%       64.000000     12.000000     12.000000     64.000000     12.000000   
75%       74.000000     29.000000     50.000000     74.000000     30.000000   
max      105.000000   1061.000000   1682.000000    103.000000   1742.000000   

           note_2_3      note_3_1      note_3_2      note_3_3      note_4_1  \
count  15602.000000  15602.000000  15602.000000  15602.000000  15602.000000   
mean      40.512819     64.043841     24.337329     38.718434     63.995834   
std       95.215525     13.956823     56.857160     72.441457     13.886633   
min        0.000000     21.000000      0.000000      0.000000     21.000000   
25%        4.000000     55.000000      4.000000      4.000000     55.000000   
50%       12.000000     64.000000     12.000000     12.000000     64.000000   
75%       49.000000     74.000000     30.000000     49.000000     74.000000   
max     6207.000000    104.000000   4051.000000   2244.000000    105.000000   

           note_4_2      note_4_3      note_5_1      note_5_2      note_5_3  \
count  15602.000000  15602.000000  15602.000000  15602.000000  15602.000000   
mean      24.053455     38.115754     64.048776     23.876554     39.256698   
std       48.684805     78.527746     13.897751     45.001236     79.272941   
min        0.000000      0.000000     22.000000      0.000000      0.000000   
25%        5.000000      4.000000     55.000000      4.000000      4.000000   
50%       12.000000     12.000000     64.000000     12.000000     12.000000   
75%       29.000000     47.000000     74.000000     30.000000     48.000000   
max     2323.000000   2386.000000    104.000000   2068.000000   2979.000000   

           note_6_1      note_6_2      note_6_3      note_7_1      note_7_2  \
count  15602.000000  15602.000000  15602.000000  15602.000000  15602.000000   
mean      64.066786     24.276888     40.234008     64.151519     23.923023   
std       13.898486     47.230988     83.098109     13.794823     37.782959   
min       23.000000      0.000000      0.000000     22.000000      0.000000   
25%       55.000000      5.000000      4.000000     55.000000      5.000000   
50%       64.000000     12.000000     12.000000     64.000000     12.000000   
75%       74.000000     29.000000     50.000000     74.000000     30.000000   
max      105.000000   2551.000000   2551.000000    105.000000   1209.000000   

           note_7_3      note_8_1      note_8_2      note_8_3      note_9_1  \
count  15602.000000  15602.000000  15602.000000  15602.000000  15602.000000   
mean      39.018716     64.113383     24.303679     39.155749     64.111909   
std       70.617755     13.969067     45.612263     79.031152     13.897356   
min        0.000000     22.000000      0.000000      0.000000     21.000000   
25%        4.000000     55.000000      5.000000      4.000000     55.000000   
50%       12.000000     64.000000     12.000000     12.000000     64.000000   
75%       49.000000     74.000000     29.000000     48.000000     74.000000   
max     1531.000000    105.000000   3053.000000   3431.000000    103.000000   

           note_9_2      note_9_3     note_10_1     note_10_2     note_10_3  \
count  15602.000000  15602.000000  15602.000000  15602.000000  15602.000000   
mean      24.324381     38.108640     64.197346     24.152032     38.609281   
std       48.329152     73.229808     13.956863     39.011742     73.427494   
min        0.000000      0.000000     22.000000      0.000000      0.000000   
25%        5.000000      4.000000     55.000000      5.000000      4.000000   
50%       12.000000     12.000000     64.000000     12.000000     12.000000   
75%       30.000000     48.000000     74.000000     30.000000     48.000000   
max     2352.000000   3003.000000    103.000000   1177.000000   2331.000000   

          note_11_1     note_11_2     note_11_3     note_12_1     note_12_2  \
count  15602.000000  15602.000000  15602.000000  15602.000000  15602.000000   
mean      64.093834     23.710934     38.486284     64.076721     24.560954   
std       13.938630     41.415336     71.690083     13.989042     55.075544   
min       21.000000      0.000000      0.000000     21.000000      0.000000   
25%       55.000000      5.000000      4.000000     55.000000      5.000000   
50%       64.000000     12.000000     12.000000     64.000000     12.000000   
75%       74.000000     29.000000     48.000000     74.000000     29.000000   
max      105.000000   1562.000000   1562.000000    105.000000   3229.000000   

          note_12_3     note_13_1     note_13_2     note_13_3     note_14_1  \
count  15602.000000  15602.000000  15602.000000  15602.000000  15602.000000   
mean      38.555121     64.120497     24.177093     39.138444     64.216126   
std       74.235210     13.884299     48.505810     77.123815     13.905643   
min        0.000000     21.000000      0.000000      0.000000     21.000000   
25%        4.000000     55.000000      5.000000      4.000000     55.000000   
50%       12.000000     64.000000     12.000000     12.000000     65.000000   
75%       47.000000     74.000000     30.000000     48.000000     74.000000   
max     2586.000000    105.000000   2458.000000   2161.000000    105.000000   

          note_14_2     note_14_3     note_15_1     note_15_2     note_15_3  \
count  15602.000000  15602.000000  15602.000000  15602.000000  15602.000000   
mean      23.675234     39.921164     64.056467     24.080054     39.194014   
std       40.176003     77.418622     14.102515     50.110336     79.400408   
min        0.000000      0.000000     21.000000      0.000000      0.000000   
25%        5.000000      4.000000     55.000000      4.000000      4.000000   
50%       12.000000     12.000000     64.000000     12.000000     12.000000   
75%       29.000000     49.000000     74.000000     29.000000     48.000000   
max     1449.000000   1893.000000    104.000000   2803.000000   1962.000000   

          note_16_1     note_16_2     note_16_3  
count  15602.000000  15602.000000  15602.000000  
mean      64.185810     23.740738     39.339892  
std       13.946376     44.658843     77.498573  
min       22.000000      0.000000      0.000000  
25%       55.000000      5.000000      4.000000  
50%       64.000000     12.000000     12.000000  
75%       74.000000     30.000000     49.000000  
max      106.000000   3290.000000   1819.000000  
