            note_1_1       note_1_2       note_1_3       note_2_1  \
count  156021.000000  156021.000000  156021.000000  156021.000000   
mean       64.294262      23.821018      39.106409      64.203415   
std        14.005085      44.491830      77.678339      13.994559   
min        21.000000       0.000000       0.000000      21.000000   
25%        55.000000       5.000000       4.000000      55.000000   
50%        65.000000      12.000000      12.000000      64.000000   
75%        74.000000      30.000000      49.000000      74.000000   
max       108.000000    4691.000000    4711.000000     107.000000   

            note_2_2       note_2_3       note_3_1       note_3_2  \
count  156021.000000  156021.000000  156021.000000  156021.000000   
mean       23.881272      39.171009      64.212670      23.786189   
std        42.951989      78.559472      14.004383      43.512070   
min         0.000000       0.000000      21.000000       0.000000   
25%         5.000000       4.000000      55.000000       5.000000   
50%        12.000000      12.000000      64.000000      12.000000   
75%        30.000000      49.000000      74.000000      30.000000   
max      2863.000000    6207.000000     107.000000    4051.000000   

            note_3_3       note_4_1       note_4_2       note_4_3  \
count  156021.000000  156021.000000  156021.000000  156021.000000   
mean       38.756238      64.236962      23.885676      38.829126   
std        77.959797      13.986971      45.172815      76.435245   
min         0.000000      21.000000       0.000000       0.000000   
25%         4.000000      55.000000       5.000000       4.000000   
50%        12.000000      65.000000      12.000000      12.000000   
75%        49.000000      74.000000      30.000000      49.000000   
max      6294.000000     107.000000    4753.000000    4767.000000   

            note_5_1       note_5_2       note_5_3       note_6_1  \
count  156021.000000  156021.000000  156021.000000  156021.000000   
mean       64.288250      23.674025      38.967145      64.238718   
std        13.981613      43.007631      77.004680      13.974103   
min        21.000000       0.000000       0.000000      21.000000   
25%        55.000000       5.000000       4.000000      55.000000   
50%        65.000000      12.000000      12.000000      65.000000   
75%        74.000000      29.000000      49.000000      74.000000   
max       106.000000    3522.000000    4226.000000     106.000000   

            note_6_2       note_6_3       note_7_1       note_7_2  \
count  156021.000000  156021.000000  156021.000000  156021.000000   
mean       23.937765      39.208286      64.249377      23.792240   
std        42.747084      78.824679      13.980415      43.886089   
min         0.000000       0.000000      21.000000       0.000000   
25%         5.000000       4.000000      55.000000       5.000000   
50%        12.000000      12.000000      65.000000      12.000000   
75%        30.000000      49.000000      74.000000      30.000000   
max      4914.000000    5879.000000     108.000000    3917.000000   

            note_7_3       note_8_1       note_8_2       note_8_3  \
count  156021.000000  156021.000000  156021.000000  156021.000000   
mean       38.916915      64.215042      23.895213      39.030643   
std        76.119040      14.004057      44.228721      78.636455   
min         0.000000      21.000000       0.000000       0.000000   
25%         4.000000      55.000000       5.000000       4.000000   
50%        12.000000      64.000000      12.000000      12.000000   
75%        49.000000      74.000000      30.000000      49.000000   
max      4479.000000     107.000000    3770.000000    4471.000000   

            note_9_1       note_9_2       note_9_3      note_10_1  \
count  156021.000000  156021.000000  156021.000000  156021.000000   
mean       64.215856      24.064946      38.847046      64.246460   
std        13.969284      44.201176      75.307050      13.956709   
min        21.000000       0.000000       0.000000      21.000000   
25%        55.000000       5.000000       4.000000      55.000000   
50%        64.000000      12.000000      12.000000      64.000000   
75%        74.000000      30.000000      49.000000      74.000000   
max       106.000000    3522.000000    5652.000000     106.000000   

           note_10_2      note_10_3      note_11_1      note_11_2  \
count  156021.000000  156021.000000  156021.000000  156021.000000   
mean       23.827850      38.389044      64.252363      23.877728   
std        43.710499      73.745891      13.991732      44.881531   
min         0.000000       0.000000      21.000000       0.000000   
25%         5.000000       4.000000      55.000000       5.000000   
50%        12.000000      12.000000      65.000000      12.000000   
75%        30.000000      49.000000      74.000000      30.000000   
max      4752.000000    6027.000000     108.000000    4753.000000   

           note_11_3      note_12_1      note_12_2      note_12_3  \
count  156021.000000  156021.000000  156021.000000  156021.000000   
mean       38.960185      64.286891      23.962178      39.002064   
std        79.760963      13.973339      44.504821      80.160172   
min         0.000000      21.000000       0.000000       0.000000   
25%         4.000000      55.000000       5.000000       4.000000   
50%        12.000000      65.000000      12.000000      12.000000   
75%        49.000000      74.000000      30.000000      49.000000   
max      6052.000000     108.000000    3306.000000    8796.000000   

           note_13_1      note_13_2      note_13_3      note_14_1  \
count  156021.000000  156021.000000  156021.000000  156021.000000   
mean       64.273809      23.977227      38.819383      64.203255   
std        13.991780      52.441035      76.136643      14.004670   
min        21.000000       0.000000       0.000000      21.000000   
25%        55.000000       5.000000       4.000000      55.000000   
50%        65.000000      12.000000      12.000000      64.000000   
75%        74.000000      30.000000      49.000000      74.000000   
max       107.000000    7346.000000    3848.000000     107.000000   

           note_14_2      note_14_3      note_15_1      note_15_2  \
count  156021.000000  156021.000000  156021.000000  156021.000000   
mean       24.039309      38.806853      64.205229      23.943924   
std        48.360487      76.650251      14.015126      46.436539   
min         0.000000       0.000000      21.000000       0.000000   
25%         5.000000       4.000000      55.000000       5.000000   
50%        12.000000      12.000000      64.000000      12.000000   
75%        30.000000      49.000000      74.000000      30.000000   
max      5176.000000    5193.000000     108.000000    3917.000000   

           note_15_3     note_16_1      note_16_2      note_16_3  
count  156021.000000  156021.00000  156021.000000  156021.000000  
mean       38.823934      64.21749      23.811788      38.739612  
std        77.134513      13.99564      45.578987      75.919014  
min         0.000000      21.00000       0.000000       0.000000  
25%         4.000000      55.00000       5.000000       4.000000  
50%        12.000000      64.00000      12.000000      12.000000  
75%        49.000000      74.00000      30.000000      49.000000  
max      5659.000000     108.00000    3828.000000    3007.000000  
